taskId,kind,condition,durationMs,inputTokens,outputTokens,contextTokens,toolCalls,turns,quality,recallHits,recallMisses,entries,compactions
short-a,short,native,463.64900650922203,1236,206,1236,1,1,0.86,0,0,0,0
short-a,short,native,443.0192254646681,1181,197,1181,1,1,0.86,0,0,0,0
short-a,short,native,497.58288212120533,1327,221,1327,1,1,0.86,0,0,0,0
short-a,short,blackhole,441.3864892213606,1261,210,1261,1,1,0.86,0,1,1,0
short-a,short,blackhole,379.02655124198645,888,180,888,1,1,0.9199999999999999,4,0,2,0
short-a,short,blackhole,423.3506603152491,774,202,774,1,1,0.9199999999999999,5,0,3,0
medium-a,medium,native,1258.157337703742,3355,559,3355,2,2,0.86,0,0,0,0
medium-a,medium,native,1400.5215848435182,3735,622,3735,3,2,0.86,0,0,0,0
medium-a,medium,blackhole,1398.1494170604274,3995,666,3995,2,1,0.86,0,1,1,0
medium-a,medium,blackhole,1249.5358468280174,2927,595,2927,2,1,0.9199999999999999,4,0,2,0
long-a,long,native,2497.4382247240283,6660,1110,6660,5,3,0.86,0,0,0,0
long-a,long,native,3009.467655129265,8025,1338,8025,6,3,0.86,0,0,0,0
long-a,long,blackhole,2705.777599127032,7731,1288,7731,5,3,0.86,0,1,1,0
long-a,long,blackhole,2374.0931441523135,5562,1131,5562,4,3,0.9199999999999999,4,0,2,0
repeated-a,repeated,native,1636.517072492279,4364,727,4364,3,2,0.86,0,0,0,0
repeated-a,repeated,native,1260.2757463669404,3361,560,3361,2,1,0.86,0,0,0,0
repeated-a,repeated,native,1710.6934407083318,4562,760,4562,3,2,0.86,0,0,0,0
repeated-a,repeated,native,2045.7088136659004,5455,909,5455,4,2,0.86,0,0,0,0
repeated-a,repeated,blackhole,1429.936847789213,4086,681,4086,3,2,0.86,0,1,1,0
repeated-a,repeated,blackhole,1165.6918626945464,2731,555,2731,2,1,0.9199999999999999,4,0,2,0
repeated-a,repeated,blackhole,1665.0162563927472,3045,793,3045,3,2,0.9199999999999999,5,0,3,0
repeated-a,repeated,blackhole,1599.1904172353445,2102,762,2102,3,2,0.9199999999999999,7,0,4,0
